regionname,countryname,project result,curr_project_cost,lendinginstr
Middle East and North Africa,Arab Republic of Egypt,Success,4507000000,Investment Project Financing
Western and Central Africa,Republic of Mali,Success,32000000,
Western and Central Africa,Republic of Senegal,Success,99000000,
Middle East and North Africa,Kingdom of Morocco,Success,40500000,Investment Project Financing
Western and Central Africa,Republic of Congo,Success,10500000,Investment Project Financing
Western and Central Africa,Republic of Senegal,Success,76500000,Investment Project Financing
Eastern and Southern Africa,Republic of South Sudan,Fail,15000000,Investment Project Financing
Eastern and Southern Africa,Eastern and Southern Africa,Success,69000000,Investment Project Financing
Eastern and Southern Africa,Republic of Kenya,Success,200000000,Investment Project Financing
Eastern and Southern Africa,Democratic Republic of the Congo,Success,30000000,Investment Project Financing
Middle East and North Africa,Kingdom of Morocco,Success,223600000,Investment Project Financing
Eastern and Southern Africa,Republic of Zimbabwe,Fail,25000000,Investment Project Financing
Middle East and North Africa,Republic of Yemen,Success,300000,Technical Assistance Loan
Middle East and North Africa,Republic of Yemen,Success,191000000,Investment Project Financing
Middle East and North Africa,Republic of Yemen,Success,3400000,Specific Investment Loan
Eastern and Southern Africa,Republic of Zambia,Success,67000000,Investment Project Financing
Middle East and North Africa,Republic of Djibouti,Success,3800000,Investment Project Financing
Western and Central Africa,Republic of Ghana,Success,5500000,Investment Project Financing
Eastern and Southern Africa,Republic of Uganda,Success,100000000,Investment Project Financing
Middle East and North Africa,People's Democratic Republic of Algeria,Fail,10880000,Technical Assistance Loan
Eastern and Southern Africa,Republic of Uganda,Fail,90000000,Investment Project Financing
Western and Central Africa,Republic of Mali,Success,63000000,Development Policy Lending
Western and Central Africa,Republic of Niger,Success,100000000,Investment Project Financing
Western and Central Africa,Republic of Congo,Success,17000000,Investment Project Financing
Western and Central Africa,Republic of Niger,Success,40000000,Investment Project Financing
Eastern and Southern Africa,United Republic of Tanzania,Success,100000000,Development Policy Lending
Western and Central Africa,Republic of Niger,Success,70000000,Development Policy Lending
Middle East and North Africa,Hashemite Kingdom of Jordan,Success,4750000,Investment Project Financing
Eastern and Southern Africa,Republic of Kenya,Success,50000000,Investment Project Financing
Eastern and Southern Africa,Democratic Republic of the Congo,Success,79100000,Investment Project Financing
Africa,Africa,Success,60000000,Adaptable Program Loan
Western and Central Africa,Republic of Ghana,Success,8760000,Investment Project Financing
Western and Central Africa,Republic of Guinea,Success,2000000,Investment Project Financing
Eastern and Southern Africa,Republic of Rwanda,Success,50000000,Development Policy Lending
Eastern and Southern Africa,Republic of Kenya,Success,200000000,Investment Project Financing
Eastern and Southern Africa,Republic of Uganda,Success,153890000,Investment Project Financing
Eastern and Southern Africa,Republic of Burundi,Success,7450000,Emergency Recovery Loan
Eastern and Southern Africa,Republic of Uganda,Success,248000000,Investment Project Financing
Eastern and Southern Africa,Republic of Mozambique,Success,350000,Technical Assistance Loan
Middle East and North Africa,West Bank and Gaza,Success,14500000,Specific Investment Loan
Eastern and Southern Africa,Kingdom of Lesotho,Success,15000000,Investment Project Financing
Western and Central Africa,Republic of Sierra Leone,Fail,1000000,
Middle East and North Africa,Republic of Tunisia,Success,600000,Technical Assistance Loan
Africa,Africa,Success,3800000,Specific Investment Loan
Middle East and North Africa,Hashemite Kingdom of Jordan,Success,10000000,Investment Project Financing
Western and Central Africa,Republic of Ghana,Success,800000,Technical Assistance Loan
Middle East and North Africa,Republic of Yemen,Fail,20000000,Investment Project Financing
Middle East and North Africa,Republic of Yemen,Fail,18600000,Specific Investment Loan
Western and Central Africa,Republic of Cote d'Ivoire,Success,30000000,Investment Project Financing
Middle East and North Africa,West Bank and Gaza,Success,5000000,Investment Project Financing
Eastern and Southern Africa,Democratic Republic of the Congo,Fail,6000000,Investment Project Financing
Middle East and North Africa,Republic of Tunisia,Success,5700000,Investment Project Financing
Middle East and North Africa,Republic of Yemen,Success,1500000,Technical Assistance Loan
Middle East and North Africa,Middle East and North Africa,Success,600000,Technical Assistance Loan
Western and Central Africa,Republic of Cameroon,Success,133000000,Investment Project Financing
Eastern and Southern Africa,Republic of Burundi,Success,26000000,Development Policy Lending
Middle East and North Africa,Republic of Yemen,Success,300000,Technical Assistance Loan
Western and Central Africa,Islamic Republic of Mauritania,Success,12100000,Investment Project Financing
Africa,Africa,Fail,124500000,Specific Investment Loan
Middle East and North Africa,Kingdom of Morocco,Success,200000000,Program-for-Results Financing
Eastern and Southern Africa,Republic of Zimbabwe,Success,21000000,Investment Project Financing
Middle East and North Africa,Republic of Yemen,Success,20000000,Investment Project Financing
Middle East and North Africa,Kingdom of Morocco,Success,4900000,Investment Project Financing
Eastern and Southern Africa,United Republic of Tanzania,Success,22900000,Investment Project Financing
Western and Central Africa,Republic of Togo,Success,2550000,Specific Investment Loan
Western and Central Africa,Republic of Ghana,Success,3000000,Specific Investment Loan
Western and Central Africa,Republic of Mali,Success,100000000,Investment Project Financing
Middle East and North Africa,Kingdom of Morocco,Success,5800000,Investment Project Financing
Western and Central Africa,Republic of Liberia,Success,29000000,Investment Project Financing
Eastern and Southern Africa,Union of the Comoros,Success,3500000,Technical Assistance Loan
Middle East and North Africa,Arab Republic of Egypt,Success,6500000,Investment Project Financing
Eastern and Southern Africa,Republic of Zambia,Success,1330000,Investment Project Financing
Eastern and Southern Africa,Southern Africa,Success,2000000,Technical Assistance Loan
Eastern and Southern Africa,Republic of Kenya,Success,61000000,Investment Project Financing
Middle East and North Africa,Kingdom of Morocco,Success,100000000,Development Policy Lending
Western and Central Africa,Islamic Republic of Mauritania,Success,4810000,Investment Project Financing
Western and Central Africa,Republic of Ghana,Success,97000000,Investment Project Financing
Eastern and Southern Africa,Republic of South Sudan,Success,9000000,Investment Project Financing
Western and Central Africa,Gabonese Republic,Success,60000000,Investment Project Financing
Middle East and North Africa,Kingdom of Morocco,Success,5500000,Investment Project Financing
Eastern and Southern Africa,Republic of Uganda,Success,13300000,Investment Project Financing
Eastern and Southern Africa,Republic of the Sudan,Success,2000000,Specific Investment Loan
Western and Central Africa,Republic of Cote d'Ivoire,Success,60000000,
Western and Central Africa,Burkina Faso,Success,26260000,Investment Project Financing
Middle East and North Africa,Kingdom of Morocco,Success,4550000,Investment Project Financing
Eastern and Southern Africa,Republic of South Sudan,Fail,20000000,Investment Project Financing
Western and Central Africa,Republic of Cameroon,Success,108000000,Investment Project Financing
Middle East and North Africa,Republic of Tunisia,Fail,8500000,Specific Investment Loan
Eastern and Southern Africa,Republic of South Sudan,Success,21000000,Investment Project Financing
Western and Central Africa,Gabonese Republic,Success,7520000,Investment Project Financing
Western and Central Africa,Republic of Congo,Success,120000000,Investment Project Financing
Western and Central Africa,Republic of Togo,Success,14000000,Investment Project Financing
Western and Central Africa,Federal Republic of Nigeria,Success,100000000,Investment Project Financing
Western and Central Africa,Republic of Mali,Success,400000,Technical Assistance Loan
Western and Central Africa,Burkina Faso,Success,1000000,Technical Assistance Loan
Middle East and North Africa,Republic of Yemen,Success,4310000,Technical Assistance Loan
Western and Central Africa,Republic of Cameroon,Success,91000000,Investment Project Financing
Western and Central Africa,Republic of Cote d'Ivoire,Success,70000000,Development Policy Lending
Western and Central Africa,Islamic Republic of Mauritania,Fail,1445000000,Specific Investment Loan
Middle East and North Africa,Republic of Yemen,Success,3000000,Specific Investment Loan
Middle East and North Africa,Kingdom of Morocco,Success,158310000,Investment Project Financing
Western and Central Africa,Republic of Ghana,Fail,4840000,Investment Project Financing
Western and Central Africa,Republic of Benin,Success,28000000,Investment Project Financing
Western and Central Africa,Republic of The Gambia,Success,8680000,Investment Project Financing
Eastern and Southern Africa,United Republic of Tanzania,Success,100000000,Development Policy Lending
Western and Central Africa,Republic of Senegal,Success,160000000,
Middle East and North Africa,Lebanese Republic,Success,18000000,Investment Project Financing
Western and Central Africa,Republic of Sierra Leone,Success,8000000,Investment Project Financing
Eastern and Southern Africa,Southern Africa,Success,4000000,Investment Project Financing
Western and Central Africa,Republic of Cameroon,Success,166600000,Investment Project Financing
Africa,Africa,Success,7500000,Investment Project Financing
Western and Central Africa,Republic of Cote d'Ivoire,Success,50000000,Investment Project Financing
Western and Central Africa,Republic of The Gambia,Success,2850000,Specific Investment Loan
Eastern and Southern Africa,Republic of Uganda,Success,3000000,Investment Project Financing
Eastern and Southern Africa,Eastern and Southern Africa,Success,152700000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,270000000,Investment Project Financing
Eastern and Southern Africa,Republic of Seychelles,Success,280000,Technical Assistance Loan
Eastern and Southern Africa,Kingdom of Lesotho,Success,6090000,Investment Project Financing
Western and Central Africa,Burkina Faso,Success,2850000,Specific Investment Loan
Eastern and Southern Africa,Republic of Uganda,Success,230000,Technical Assistance Loan
Western and Central Africa,Republic of Niger,Success,44520000,Investment Project Financing
Western and Central Africa,Republic of Liberia,Success,10710000,Investment Project Financing
Middle East and North Africa,Republic of Yemen,Success,102000000,Emergency Recovery Loan
Eastern and Southern Africa,United Republic of Tanzania,Success,100000000,Development Policy Lending
Eastern and Southern Africa,Republic of Uganda,Success,100000000,Investment Project Financing
Eastern and Southern Africa,Union of the Comoros,Success,3000000,Emergency Recovery Loan
Western and Central Africa,Republic of Congo,Success,33000000,Investment Project Financing
Middle East and North Africa,Republic of Yemen,Success,25000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Mozambique,Success,25000000,Development Policy Lending
Western and Central Africa,Republic of Ghana,Success,150000000,Development Policy Lending
Eastern and Southern Africa,Republic of Malawi,Success,50000000,Development Policy Lending
Middle East and North Africa,Republic of Yemen,Success,5000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Malawi,Success,32800000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,218500000,Investment Project Financing
Eastern and Southern Africa,Republic of Burundi,Success,270400000,Investment Project Financing
Western and Central Africa,Republic of Senegal,Success,40500000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,380000000,Program-for-Results Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,233800000,Investment Project Financing
Eastern and Southern Africa,Republic of Uganda,Success,183750000,Investment Project Financing
Western and Central Africa,Central African Republic,Fail,23200000,Specific Investment Loan
Western and Central Africa,Republic of Liberia,Success,35000000,Investment Project Financing
Western and Central Africa,Central African Republic,Success,250000,Investment Project Financing
Western and Central Africa,Republic of Sierra Leone,Success,28500000,Investment Project Financing
Africa,Africa,Success,6000000,Investment Project Financing
Western and Central Africa,Republic of Sierra Leone,Success,1000000,
Middle East and North Africa,Hashemite Kingdom of Jordan,Success,230000,Technical Assistance Loan
Western and Central Africa,Republic of Cameroon,Success,55800000,Investment Project Financing
Western and Central Africa,Republic of Senegal,Success,217700000,Investment Project Financing
Eastern and Southern Africa,Republic of Uganda,Success,160000000,
Eastern and Southern Africa,Republic of Uganda,Success,168200000,Investment Project Financing
Eastern and Southern Africa,Republic of Uganda,Success,127300000,Investment Project Financing
Middle East and North Africa,Lebanese Republic,Success,5200000,Specific Investment Loan
Eastern and Southern Africa,Republic of Zambia,Success,210000000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,94650000,Investment Project Financing
Western and Central Africa,Republic of Sierra Leone,Success,25000000,Development Policy Lending
Western and Central Africa,Republic of The Gambia,Success,35000000,Investment Project Financing
Western and Central Africa,Republic of Sierra Leone,Success,21310000,Investment Project Financing
Western and Central Africa,Federal Republic of Nigeria,Success,73050000,Investment Project Financing
Western and Central Africa,Republic of Chad,Success,10200000,Investment Project Financing
Eastern and Southern Africa,Republic of Uganda,Success,12000000,Adaptable Program Loan
Western and Central Africa,Islamic Republic of Mauritania,Success,2850000,Emergency Recovery Loan
Eastern and Southern Africa,Republic of Kenya,Success,18140000,Investment Project Financing
Western and Central Africa,Republic of The Gambia,Success,5000000,Technical Assistance Loan
Eastern and Southern Africa,United Republic of Tanzania,Success,30000000,Specific Investment Loan
Western and Central Africa,Gabonese Republic,Success,57500000,Investment Project Financing
Eastern and Southern Africa,Eastern and Southern Africa,Success,92100000,Investment Project Financing
Western and Central Africa,Federal Republic of Nigeria,Success,900000,Technical Assistance Loan
Eastern and Southern Africa,Republic of the Sudan,Success,2100000,Specific Investment Loan
Western and Central Africa,Western and Central Africa,Success,270000,Technical Assistance Loan
Western and Central Africa,Republic of Benin,Success,20000000,Development Policy Lending
Eastern and Southern Africa,United Republic of Tanzania,Success,25000000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,50000000,Development Policy Lending
Western and Central Africa,Republic of Sierra Leone,Success,13000000,Investment Project Financing
Middle East and North Africa,Republic of Tunisia,Success,250000000,Development Policy Lending
Western and Central Africa,Republic of Benin,Success,36900000,Investment Project Financing
Western and Central Africa,Republic of Chad,Success,15000000,Investment Project Financing
Eastern and Southern Africa,Republic of Madagascar,Success,85400000,Investment Project Financing
Eastern and Southern Africa,Republic of Mozambique,Success,1780000,Specific Investment Loan
Eastern and Southern Africa,Republic of Mauritius,Success,15000000,Development Policy Lending
Eastern and Southern Africa,Eastern and Southern Africa,Success,1500000,Investment Project Financing
Western and Central Africa,Republic of Benin,Success,2000000,Investment Project Financing
Eastern and Southern Africa,Republic of Seychelles,Success,7000000,Development Policy Lending
Western and Central Africa,Republic of Niger,Success,100000000,Investment Project Financing
Middle East and North Africa,Republic of Tunisia,Success,74500000,Investment Project Financing
Middle East and North Africa,Hashemite Kingdom of Jordan,Success,70000000,Investment Project Financing
Middle East and North Africa,Republic of Yemen,Success,20000000,Specific Investment Loan
Western and Central Africa,Republic of Niger,Success,40000000,Investment Project Financing
Middle East and North Africa,West Bank and Gaza,Success,8000000,Investment Project Financing
Western and Central Africa,Republic of Ghana,Fail,60000000,Specific Investment Loan
Western and Central Africa,Burkina Faso,Success,50000000,Program-for-Results Financing
Western and Central Africa,Burkina Faso,Success,70000000,Development Policy Lending
Western and Central Africa,Republic of Togo,Success,14000000,Development Policy Lending
Eastern and Southern Africa,Eastern and Southern Africa,Success,91000000,Investment Project Financing
Middle East and North Africa,Republic of Yemen,Success,19000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Madagascar,Success,102000000,Investment Project Financing
Western and Central Africa,Republic of Ghana,Success,13250000,Investment Project Financing
Middle East and North Africa,Hashemite Kingdom of Jordan,Success,2400000,Technical Assistance Loan
Western and Central Africa,Federal Republic of Nigeria,Success,300000000,Investment Project Financing
Eastern and Southern Africa,Republic of Mozambique,Success,40000000,Investment Project Financing
Eastern and Southern Africa,Republic of Madagascar,Success,65000000,Emergency Recovery Loan
Eastern and Southern Africa,Republic of Burundi,Success,25000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Zambia,Success,350000,Technical Assistance Loan
Eastern and Southern Africa,Republic of Mauritius,Success,230000,Technical Assistance Loan
Western and Central Africa,Islamic Republic of Mauritania,Success,450000,Technical Assistance Loan
Western and Central Africa,Republic of Chad,Success,510000,Investment Project Financing
Western and Central Africa,Republic of Senegal,Success,3100000,Specific Investment Loan
Eastern and Southern Africa,Republic of Malawi,Success,50000000,Adaptable Program Loan
Eastern and Southern Africa,Union of the Comoros,Success,3800000,Development Policy Lending
Eastern and Southern Africa,Union of the Comoros,Success,360000,Investment Project Financing
Eastern and Southern Africa,Republic of Madagascar,Success,350000,Investment Project Financing
Eastern and Southern Africa,Republic of Rwanda,Success,50000000,Development Policy Lending
Eastern and Southern Africa,Republic of Malawi,Success,50900000,Investment Project Financing
Eastern and Southern Africa,Union of the Comoros,Success,5000000,Investment Project Financing
Eastern and Southern Africa,Republic of Malawi,Success,50000000,Adaptable Program Loan
Eastern and Southern Africa,Republic of the Sudan,Success,3080000,Emergency Recovery Loan
Western and Central Africa,Republic of Senegal,Success,380000,Technical Assistance Loan
Middle East and North Africa,Republic of Iraq,Success,385000000,Investment Project Financing
Eastern and Southern Africa,Kingdom of Eswatini,Success,2570000,Specific Investment Loan
Eastern and Southern Africa,Republic of Kenya,Success,7200000,Investment Project Financing
Eastern and Southern Africa,Eastern and Southern Africa,Success,180000,Technical Assistance Loan
Eastern and Southern Africa,Republic of Rwanda,Success,9530000,Investment Project Financing
Middle East and North Africa,Lebanese Republic,Fail,28000000,Specific Investment Loan
Africa,Africa,Success,255000000,Investment Project Financing
Eastern and Southern Africa,United Republic of Tanzania,Success,350000,Technical Assistance Loan
Western and Central Africa,Western and Central Africa,Success,212500000,Investment Project Financing
Eastern and Southern Africa,Republic of Kenya,Success,250000000,Program-for-Results Financing
Middle East and North Africa,Kingdom of Morocco,Success,2677000000,Investment Project Financing
Middle East and North Africa,Republic of Yemen,Success,2730000,Emergency Recovery Loan
Eastern and Southern Africa,Republic of Mozambique,Success,110000000,Development Policy Lending
Middle East and North Africa,Lebanese Republic,Success,12800000,Specific Investment Loan
Eastern and Southern Africa,Republic of Mozambique,Success,2520000,Technical Assistance Loan
Middle East and North Africa,Republic of Djibouti,Success,7000000,Investment Project Financing
Middle East and North Africa,Republic of Tunisia,Fail,50000000,Specific Investment Loan
Eastern and Southern Africa,Democratic Republic of the Congo,Success,100000000,Specific Investment Loan
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,385000000,Investment Project Financing
Western and Central Africa,Republic of Niger,Success,19640000,Sector Investment and Maintenance Loan
Western and Central Africa,Republic of Mali,Success,45400000,Investment Project Financing
Western and Central Africa,Burkina Faso,Success,10000000,Specific Investment Loan
Western and Central Africa,Republic of Benin,Success,7560000,Investment Project Financing
Eastern and Southern Africa,Republic of Mozambique,Success,21000000,Investment Project Financing
Eastern and Southern Africa,Democratic Republic of the Congo,Success,106500000,Technical Assistance Loan
Eastern and Southern Africa,Democratic Republic of Sao Tome and Prin,Success,290000,Technical Assistance Loan
Eastern and Southern Africa,Democratic Republic of Sao Tome and Prin,Success,5500000,Development Policy Lending
Middle East and North Africa,Kingdom of Morocco,Success,200000000,Development Policy Lending
Eastern and Southern Africa,Republic of Malawi,Success,19000000,Investment Project Financing
Western and Central Africa,Republic of Mali,Success,22000000,Specific Investment Loan
Eastern and Southern Africa,Eastern and Southern Africa,Success,85000000,Investment Project Financing
Western and Central Africa,Federal Republic of Nigeria,Success,95000000,Investment Project Financing
Middle East and North Africa,Republic of Yemen,Success,72000000,Specific Investment Loan
Western and Central Africa,Federal Republic of Nigeria,Success,220000000,Investment Project Financing
Middle East and North Africa,Arab Republic of Egypt,Success,1050000,Investment Project Financing
Western and Central Africa,Federal Republic of Nigeria,Success,230000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Kenya,Success,2860000,Specific Investment Loan
Western and Central Africa,Burkina Faso,Success,50000000,Investment Project Financing
Eastern and Southern Africa,Eastern and Southern Africa,Success,15300000,Investment Project Financing
Africa,Africa,Success,3900000,Specific Investment Loan
Middle East and North Africa,Republic of Tunisia,Success,300000000,Program-for-Results Financing
Africa,Africa,Success,4900000,Specific Investment Loan
Middle East and North Africa,Republic of Djibouti,Success,3000000,Specific Investment Loan
Middle East and North Africa,Republic of Djibouti,Success,5200000,Emergency Recovery Loan
Eastern and Southern Africa,Republic of Uganda,Success,102500000,Investment Project Financing
Western and Central Africa,Western and Central Africa,Success,125000000,Specific Investment Loan
Middle East and North Africa,Middle East and North Africa,Success,1000000,Investment Project Financing
Middle East and North Africa,Republic of Djibouti,Success,5000000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,210200000,Investment Project Financing
Western and Central Africa,Republic of Senegal,Success,86020000,Investment Project Financing
Africa,Africa,Success,940000,Investment Project Financing
Africa,Africa,Success,50000,Technical Assistance Loan
Western and Central Africa,Western and Central Africa,Success,35000000,Adaptable Program Loan
Western and Central Africa,Western and Central Africa,Success,785040000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,5000000,Investment Project Financing
Western and Central Africa,Federal Republic of Nigeria,Success,100000000,Development Policy Lending
Middle East and North Africa,West Bank and Gaza,Success,6500000,Investment Project Financing
Eastern and Southern Africa,Republic of Mozambique,Success,58150000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,550000000,Investment Project Financing
Western and Central Africa,Republic of Niger,Success,15000000,Development Policy Lending
Western and Central Africa,Republic of Ghana,Success,5000000,Technical Assistance Loan
Middle East and North Africa,West Bank and Gaza,Success,40000000,Development Policy Lending
Western and Central Africa,Republic of Ghana,Success,410000,Technical Assistance Loan
Western and Central Africa,Republic of Ghana,Success,760000,Technical Assistance Loan
Eastern and Southern Africa,Democratic Republic of the Congo,Success,100000000,Investment Project Financing
Western and Central Africa,Burkina Faso,Success,86000000,Investment Project Financing
Western and Central Africa,Republic of Liberia,Success,50000000,Specific Investment Loan
Middle East and North Africa,Republic of Iraq,Success,5000000,Technical Assistance Loan
Western and Central Africa,Republic of Benin,Success,42300000,Investment Project Financing
Eastern and Southern Africa,Democratic Republic of the Congo,Success,180000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Uganda,Success,670000,Technical Assistance Loan
Western and Central Africa,Republic of Niger,Success,390000,Investment Project Financing
Western and Central Africa,Western and Central Africa,Success,135000000,Investment Project Financing
Africa,Africa,Success,15000000,Specific Investment Loan
Western and Central Africa,Republic of Ghana,Success,50000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Mozambique,Success,50000000,Investment Project Financing
Eastern and Southern Africa,Republic of Mozambique,Success,50000000,Development Policy Lending
Western and Central Africa,Republic of Senegal,Success,40000000,Investment Project Financing
Africa,Africa,Fail,2970000,Investment Project Financing
Eastern and Southern Africa,Republic of Mozambique,Success,3600000,
Eastern and Southern Africa,Eastern and Southern Africa,Success,122000000,Investment Project Financing
Western and Central Africa,Republic of Senegal,Success,10000000,Adaptable Program Loan
Western and Central Africa,Republic of Congo,Success,350000,Technical Assistance Loan
Western and Central Africa,Republic of Ghana,Success,75500000,Specific Investment Loan
Western and Central Africa,Republic of Ghana,Success,250000,Technical Assistance Loan
Middle East and North Africa,Kingdom of Morocco,Success,50000000,Investment Project Financing
Africa,Africa,Success,100000000,Development Policy Lending
Western and Central Africa,Gabonese Republic,Success,18000000,Investment Project Financing
Western and Central Africa,Republic of Guinea,Success,2860000,Specific Investment Loan
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,150000000,Specific Investment Loan
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,1280000,Specific Investment Loan
Western and Central Africa,Republic of Guinea,Success,18300000,Investment Project Financing
Western and Central Africa,Republic of Liberia,Success,23450000,Emergency Recovery Loan
Western and Central Africa,Republic of Benin,Success,10000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Mauritius,Fail,210000000,Specific Investment Loan
Eastern and Southern Africa,Republic of South Sudan,Success,38000000,Emergency Recovery Loan
Western and Central Africa,Islamic Republic of Mauritania,Success,10000000,Emergency Recovery Loan
Western and Central Africa,Republic of Liberia,Success,15000000,Investment Project Financing
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,4887090000,Investment Project Financing
Eastern and Southern Africa,Republic of Namibia,Success,390000,Investment Project Financing
Eastern and Southern Africa,Democratic Republic of the Congo,Success,36900000,Investment Project Financing
Middle East and North Africa,Kingdom of Morocco,Success,200000000,Development Policy Lending
Eastern and Southern Africa,Republic of Madagascar,Success,15050000,Investment Project Financing
Western and Central Africa,Republic of Liberia,Success,3500000,Technical Assistance Loan
Western and Central Africa,Republic of Guinea-Bissau,Success,3200000,Technical Assistance Loan
Western and Central Africa,Burkina Faso,Success,52870000,Investment Project Financing
Middle East and North Africa,Hashemite Kingdom of Jordan,Success,2610000,Technical Assistance Loan
Eastern and Southern Africa,Republic of Kenya,Success,5000000,Technical Assistance Loan
Eastern and Southern Africa,Republic of Kenya,Success,56800000,Emergency Recovery Loan
Middle East and North Africa,Kingdom of Morocco,Success,3710000,Investment Project Financing
Western and Central Africa,Republic of Sierra Leone,Success,750000,Technical Assistance Loan
Eastern and Southern Africa,Republic of the Sudan,Success,76500000,Investment Project Financing
Western and Central Africa,Republic of Congo,Success,32000000,Investment Project Financing
Eastern and Southern Africa,Republic of Malawi,Success,80800000,Specific Investment Loan
Eastern and Southern Africa,Kingdom of Lesotho,Success,20000000,Development Policy Lending
Middle East and North Africa,Kingdom of Morocco,Success,2850000,Specific Investment Loan
Western and Central Africa,Republic of Cameroon,Success,50000000,Investment Project Financing
Eastern and Southern Africa,Republic of Namibia,Success,7800000,Specific Investment Loan
Eastern and Southern Africa,Democratic Republic of the Congo,Success,600000,Technical Assistance Loan
Western and Central Africa,Republic of Guinea,Success,10000000,Investment Project Financing
Eastern and Southern Africa,Republic of Mozambique,Success,50000000,Development Policy Lending
Middle East and North Africa,Republic of Tunisia,Success,3000000,Specific Investment Loan
Africa,Africa,Success,6550000,Investment Project Financing
Western and Central Africa,Republic of Guinea,Success,20000000,Specific Investment Loan
Western and Central Africa,Republic of Senegal,Success,55000000,Development Policy Lending
Western and Central Africa,Republic of Liberia,Success,200000,Technical Assistance Loan
Middle East and North Africa,Republic of Tunisia,Success,500000000,Development Policy Lending
Eastern and Southern Africa,Republic of South Sudan,Success,9000000,Emergency Recovery Loan
Western and Central Africa,Republic of Sierra Leone,Success,17000000,Investment Project Financing
Eastern and Southern Africa,Republic of Madagascar,Success,6000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Kenya,Fail,78000000,
Middle East and North Africa,Republic of Yemen,Fail,45000000,Specific Investment Loan
Eastern and Southern Africa,Somali Democratic Republic,Success,9000000,Specific Investment Loan
Eastern and Southern Africa,Republic of Mauritius,Success,20000000,Development Policy Lending
Western and Central Africa,Republic of Senegal,Success,5000000,Technical Assistance Loan
Middle East and North Africa,People's Democratic Republic of Algeria,Fail,31400000,Specific Investment Loan
Eastern and Southern Africa,Democratic Republic of Sao Tome and Prin,Success,4200000,Development Policy Lending
Middle East and North Africa,Kingdom of Morocco,Success,300000000,Development Policy Lending
Middle East and North Africa,Kingdom of Morocco,Success,130000000,Development Policy Lending
Africa,Africa,Success,30000000,Emergency Recovery Loan
Middle East and North Africa,Hashemite Kingdom of Jordan,Success,14680000,Specific Investment Loan
Middle East and North Africa,Kingdom of Morocco,Success,203200000,Development Policy Lending
Eastern and Southern Africa,Republic of Mozambique,Success,550000,Technical Assistance Loan
Eastern and Southern Africa,Republic of Zimbabwe,Success,290000,Technical Assistance Loan
Middle East and North Africa,Hashemite Kingdom of Jordan,Success,2780000,Investment Project Financing
Eastern and Southern Africa,United Republic of Tanzania,Success,6600000,Investment Project Financing
Africa,Africa,Success,75000000,Specific Investment Loan
Western and Central Africa,Islamic Republic of Mauritania,Success,102000000,Investment Project Financing
Western and Central Africa,Republic of Sierra Leone,Success,5600000,Specific Investment Loan
Eastern and Southern Africa,Federal Democratic Republic of Ethiopia,Success,50000000,Specific Investment Loan
Middle East and North Africa,Socialist People's Libyan Arab Jamahiriy,Success,3000000,Investment Project Financing
Middle East and North Africa,Arab Republic of Egypt,Success,30000,Technical Assistance Loan
Middle East and North Africa,West Bank and Gaza,Success,30000,Technical Assistance Loan
Middle East and North Africa,West Bank and Gaza,Success,30000,Technical Assistance Loan
Middle East and North Africa,Kingdom of Morocco,Success,30000,Technical Assistance Loan
Middle East and North Africa,West Bank and Gaza,Success,30000,Technical Assistance Loan
Middle East and North Africa,Lebanese Republic,Success,30000,Technical Assistance Loan
Middle East and North Africa,Kingdom of Morocco,Success,30000,Technical Assistance Loan
Western and Central Africa,Republic of Ghana,Fail,10000000,Specific Investment Loan
Western and Central Africa,Republic of Cote d'Ivoire,Success,50000000,Development Policy Lending
Western and Central Africa,Republic of Benin,Success,30000000,Development Policy Lending
Western and Central Africa,Republic of Cabo Verde,Success,15500000,Development Policy Lending
Eastern and Southern Africa,Republic of Kenya,Success,55100000,Adaptable Program Loan
Western and Central Africa,Republic of Mali,Success,70000000,Investment Project Financing
